Campaign,Sitelink text,Description 1,Description 2,Final URL
1020.dev | Search | Wien,Unsere Methode,Wie wir Projekte aufsetzen,In 4 klaren Schritten,https://1020.dev/#methode
1020.dev | Search | Wien,Leistungen,"Web, SEO, AEO, Backend",Für KMU in Wien,https://1020.dev/#leistungen
1020.dev | Search | Wien,Preise,Transparent und fair,Ohne versteckte Kosten,https://1020.dev/#preise
1020.dev | Search | Wien,AEO-Audit starten,Kostenlose KI-Sichtbarkeit,In 30 Sekunden,https://1020.dev/#audit
